diffDonnee -- City,Total Cells,Stable cells,Unstable cells,average evaluation,typology of the city,
novillars,372.0,0.0,372.0,0.5853001994471396,3.0,
chatillon-le-duc,1745.0,0.0,1745.0,0.5003216850040294,3.0,
pirey,1518.0,0.0,1518.0,0.5383493375715374,3.0,
pouligney-lusans,4758.0,0.0,4758.0,0.379265174689339,4.0,
chaudefontaine,1644.0,0.0,1644.0,0.4128485909343636,4.0,
montferrand-le-chateau,2371.0,0.0,2371.0,0.5418088503499314,3.0,
chaucenne,1980.0,0.0,1980.0,0.4679434419882418,4.0,
franois,3323.0,0.0,3323.0,0.5479181630045328,3.0,
champoux,926.0,0.0,926.0,0.40779077517548595,4.0,
sorans-ls-breurey,1176.0,0.0,1176.0,0.39367808127889825,4.0,
osse,2772.0,0.0,2772.0,0.40109318985051406,4.0,
roche-lez-beaupre,999.0,0.0,999.0,0.5328256723520396,3.0,
recologne,777.0,0.0,777.0,0.43336606608701334,4.0,
corcondray,628.0,0.0,628.0,0.33455845049232436,4.0,
tallenay,430.0,0.0,430.0,0.5082809093386628,4.0,
rancenay,665.0,0.0,665.0,0.47194925179158836,4.0,
grandfontaine,2348.0,0.0,2348.0,0.4701869256248669,3.0,
corcelle-mieslot,1679.0,0.0,1679.0,0.3835079881532906,4.0,
braillans,1104.0,0.0,1104.0,0.42686816229336505,4.0,
velesmes-essarts,1243.0,0.0,1243.0,0.5083034819206306,3.0,
voray-sur-l'ognon,2102.0,0.0,2102.0,0.43825498339565,4.0,
courcuire,567.0,0.0,567.0,0.2898507362110064,4.0,
devecey,1348.0,0.0,1348.0,0.5583965176998331,3.0,
rigney,912.0,0.0,912.0,0.40404239453767476,4.0,
serre-les-sapins,1360.0,0.0,1360.0,0.4944395177504596,3.0,
mamirolle,5786.0,0.0,5786.0,0.450011553007799,3.0,
roulans,695.0,0.0,695.0,0.3162489417645571,4.0,
bonnevent-velloreille,676.0,0.0,676.0,0.3914482522998336,4.0,
montfaucon,278.0,0.0,278.0,0.5273413349398606,3.0,
magny,2261.0,0.0,2261.0,0.47030338656844317,4.0,
montboillon,3565.0,0.0,3565.0,0.4002017498685133,4.0,
bussires,1418.0,0.0,1418.0,0.41674004085309413,4.0,
vennans,112.0,0.0,112.0,0.4167674609592983,4.0,
moncley,1278.0,0.0,1278.0,0.4362927647263791,4.0,
chatillon-guyotte,1228.0,0.0,1228.0,0.37453793702762367,4.0,
villers-grlot,656.0,0.0,656.0,0.390340293326029,4.0,
vregille,1057.0,0.0,1057.0,0.3997922552680789,4.0,
champagney,1655.0,0.0,1655.0,0.43236279444391995,4.0,
chevroz,266.0,0.0,266.0,0.4896013073455122,4.0,
thise,1993.0,0.0,1993.0,0.43926257771340316,3.0,
bonnay,1700.0,0.0,1700.0,0.3931289852366728,4.0,
boulot,1362.0,0.0,1362.0,0.43544752482275606,4.0,
beaumotte-ls-pin,1193.0,0.0,1193.0,0.343565717826645,4.0,
nancray,5244.0,0.0,5244.0,0.39646910457189166,3.0,
miserey-salines,2124.0,0.0,2124.0,0.548383867224282,3.0,
le gratteris,1594.0,0.0,1594.0,0.3955332374333438,4.0,
gennes,1473.0,0.0,1473.0,0.4412841796875,4.0,
rignosot,594.0,0.0,594.0,0.36300846703526146,4.0,
beure,69.0,0.0,69.0,0.549284727677055,3.0,
thoraise,16.0,0.0,16.0,0.61866694688797,4.0,
la veze,2379.0,0.0,2379.0,0.44221461305301596,4.0,
franey,64.0,0.0,64.0,0.3553037941455841,4.0,
autoreille,538.0,0.0,538.0,0.27292142392977464,4.0,
le puy,698.0,0.0,698.0,0.3832207709807038,4.0,
vaire-arcier,1759.0,0.0,1759.0,0.39835769280308414,4.0,
thurey-le-mont,993.0,0.0,993.0,0.33419710679836984,4.0,
placey,1896.0,0.0,1896.0,0.4319607054633933,4.0,
mrey-sous-montrond,1645.0,0.0,1645.0,0.4136791843773746,4.0,
palise,677.0,0.0,677.0,0.36303954356882384,4.0,
noironte,3201.0,0.0,3201.0,0.4728868908153702,4.0,
perrouse,1774.0,0.0,1774.0,0.440396623923249,4.0,
pelousey,2491.0,0.0,2491.0,0.4720198280215024,3.0,
larnod,1238.0,0.0,1238.0,0.4337855818198455,3.0,
vaire-le-petit,235.0,0.0,235.0,0.5617630978848072,3.0,
naisey-les-granges,3303.0,0.0,3303.0,0.3786614071842832,4.0,
foucherans,236.0,0.0,236.0,0.4802401914434918,4.0,
chaleze,610.0,0.0,610.0,0.4312897228803791,3.0,
avanne-aveney,1451.0,0.0,1451.0,0.45354551582152397,3.0,
saint-vit,1340.0,0.0,1340.0,0.4526424578766325,3.0,
besancon,2275.0,0.0,2275.0,0.6204113903674451,2.0,
busy,4.0,0.0,4.0,0.5668351650238037,4.0,
auxon-dessus,781.0,0.0,781.0,0.4845186397147087,3.0,
villers-sous-montrond,237.0,0.0,237.0,0.40851444936502834,4.0,
lavernay,718.0,0.0,718.0,0.2639821512121344,4.0,
champvans-les-moulins,726.0,0.0,726.0,0.3807149839795325,4.0,
boult,1778.0,0.0,1778.0,0.4000743269518068,4.0,
amagney,1945.0,0.0,1945.0,0.40550493176614716,4.0,
l'hpital-du-grosbois,1805.0,0.0,1805.0,0.4209179146468144,4.0,
valleroy,126.0,0.0,126.0,0.3383453611343626,4.0,
cussey-sur-l'ognon,2851.0,0.0,2851.0,0.41339682930605487,4.0,
torpes,852.0,0.0,852.0,0.4522305699021604,3.0,
sauvagney,1249.0,0.0,1249.0,0.4292889878308897,4.0,
pugey,1123.0,0.0,1123.0,0.46714694395940004,4.0,
arguel,131.0,0.0,131.0,0.44176963631433386,4.0,
marchaux,2969.0,0.0,2969.0,0.4413406716408092,4.0,
pouilley-les-vignes,3255.0,0.0,3255.0,0.4574462515600998,3.0,
chevigney-sur-l'ognon,1733.0,0.0,1733.0,0.3885950263497187,4.0,
vieilley,2027.0,0.0,2027.0,0.40430133143962754,4.0,
tuz,1588.0,0.0,1588.0,0.3894022213722056,4.0,
chalezeule,826.0,0.0,826.0,0.5874720243218448,3.0,
geneuille,1291.0,0.0,1291.0,0.4571188550693503,4.0,
morre,262.0,0.0,262.0,0.5470212397684577,3.0,
venise,2012.0,0.0,2012.0,0.4195381907772117,4.0,
fontain,3682.0,0.0,3682.0,0.435183017944137,4.0,
deluz,530.0,0.0,530.0,0.532391357421875,4.0,
bouclans,1605.0,0.0,1605.0,0.3765934929298092,4.0,
tarcenay,1651.0,0.0,1651.0,0.44922281654584345,4.0,
la chevillotte,3294.0,0.0,3294.0,0.41500070707394127,4.0,
buthiers,1667.0,0.0,1667.0,0.4175420897265859,4.0,
moncey,1915.0,0.0,1915.0,0.39823195654169385,4.0,
chambornay-ls-pin,1629.0,0.0,1629.0,0.4187690636510129,4.0,
cromary,2287.0,0.0,2287.0,0.34858199879755136,4.0,
aulx-ls-cromary,773.0,0.0,773.0,0.4089126093421531,4.0,
pin,6279.0,0.0,6279.0,0.36389189317815335,4.0,
la tour-de-say,631.0,0.0,631.0,0.436758630816041,4.0,
pouilley-franais,1210.0,0.0,1210.0,0.39594887977789256,3.0,
chaux-la-lotire,2860.0,0.0,2860.0,0.4192422933511801,4.0,
audeux,1104.0,0.0,1104.0,0.44748754086701764,4.0,
ecole-valentin,816.0,0.0,816.0,0.6571680704752604,3.0,
routelle,18.0,0.0,18.0,0.3017011748419868,4.0,
gzier-et-fontenelay,5382.0,0.0,5382.0,0.36315344133947647,4.0,
chemaudin,2703.0,0.0,2703.0,0.4803791053198992,3.0,
villers-buzon,447.0,0.0,447.0,0.31420963295887516,4.0,
dannemarie-sur-crte,1412.0,0.0,1412.0,0.5461218728559889,3.0,
cordonnet,94.0,0.0,94.0,0.4466868461446559,4.0,
auxon-dessous,1373.0,0.0,1373.0,0.38295355211273213,3.0,
mrey-vieilley,454.0,0.0,454.0,0.4700662890194796,4.0,
mazerolles-le-salin,1799.0,0.0,1799.0,0.41461965360530156,4.0,
trpot,3498.0,0.0,3498.0,0.42845112804415025,4.0,
saone,5857.0,0.0,5857.0,0.45926678113528685,3.0,
vaux-les-pres,1699.0,0.0,1699.0,0.4017736694264089,4.0,
